epoch,aditya,jinyoon,Kenya,Peter,sami,total_accuracy
1.0,0.5097492933273315,0.005524862091988325,0.6461538672447205,0.015673981979489326,0.7608024477958679,0.3875808904878795
2.0,0.9526462554931641,0.20441989600658417,0.8615384697914124,0.29780563712120056,0.9922839403152466,0.6617388397455215
3.0,0.9777158498764038,0.7016574740409851,0.8984615206718445,0.7962382435798645,0.9953703880310059,0.8738886952400208
4.0,0.9832869172096252,0.8453038930892944,0.9492307901382446,0.9373040795326233,0.9891975522041321,0.940864646434784
5.0,0.9888579249382019,0.8674033284187317,0.9707692265510559,0.9717868566513062,0.9984567761421204,0.9594548225402832
6.0,0.9832869172096252,0.9060773253440857,0.9830769300460815,0.9843260049819946,0.9938271641731262,0.9701188683509827
7.0,0.9805014133453369,0.9337016344070435,0.9907692074775696,0.9874607920646667,0.9969135522842407,0.9778693199157715
8.0,0.9888579249382019,0.939226508140564,0.9923076629638672,0.9905956387519836,0.9953703880310059,0.9812716245651245
9.0,0.9860724210739136,0.9558011293411255,0.9969230890274048,0.9874607920646667,0.9969135522842407,0.9846341967582702
10.0,0.9860724210739136,0.9558011293411255,0.9969230890274048,0.9905956387519836,0.9953703880310059,0.9849525332450867
test,1.0,0.9487179517745972,1.0,0.9855072498321533,0.9784172773361206,0.9825284957885743
