epoch,aditya,jinyoon,Kenya,Peter,sami,total_accuracy
1.0,0.10584957897663116,0.016574585810303688,0.6153846383094788,0.1410658359527588,0.5925925970077515,0.2942934472113848
2.0,0.7910863757133484,0.23204420506954193,0.8061538338661194,0.6708464026451111,0.9876543283462524,0.6975570291280746
3.0,0.9526462554931641,0.6795580387115479,0.9292307496070862,0.9059560894966125,0.9907407164573669,0.8916263699531555
4.0,0.9777158498764038,0.8011049628257751,0.9338461756706238,0.9717868566513062,0.9861111044883728,0.9341129899024964
5.0,0.9805014133453369,0.8729282021522522,0.9661538600921631,0.9749216437339783,0.9845678806304932,0.9558145999908447
6.0,0.9832869172096252,0.950276255607605,0.9738461375236511,0.9780564308166504,0.9907407164573669,0.9752412915229798
7.0,0.9832869172096252,0.9613259434700012,0.989230751991272,0.9811912178993225,0.9876543283462524,0.9805378317832947
8.0,0.9805014133453369,0.950276255607605,0.9876922965049744,0.9874607920646667,0.9861111044883728,0.9784083724021911
9.0,0.9860724210739136,0.9613259434700012,0.9876922965049744,0.9874607920646667,0.9938271641731262,0.9832757234573364
10.0,0.9860724210739136,0.9668508172035217,0.9876922965049744,0.9749216437339783,0.9891975522041321,0.980946946144104
test,0.9350649118423462,0.8974359035491943,1.0,0.9855072498321533,0.9856114983558655,0.9607239127159118
